interv_start,interv_cvg_rate,interv_target,interv_cvg_max_prop,interv_efficacy,contact_rate_mean,imm_hum_baseline,scenario_id
-28,0.001,priority_age_frailty,0.4,0.3,1,1e-05,1
-14,0.001,priority_age_frailty,0.4,0.3,1,1e-05,2
0,0.001,priority_age_frailty,0.4,0.3,1,1e-05,3
14,0.001,priority_age_frailty,0.4,0.3,1,1e-05,4
28,0.001,priority_age_frailty,0.4,0.3,1,1e-05,5
-28,0.003,priority_age_frailty,0.4,0.3,1,1e-05,6
-14,0.003,priority_age_frailty,0.4,0.3,1,1e-05,7
0,0.003,priority_age_frailty,0.4,0.3,1,1e-05,8
14,0.003,priority_age_frailty,0.4,0.3,1,1e-05,9
28,0.003,priority_age_frailty,0.4,0.3,1,1e-05,10
-28,0.006,priority_age_frailty,0.4,0.3,1,1e-05,11
-14,0.006,priority_age_frailty,0.4,0.3,1,1e-05,12
0,0.006,priority_age_frailty,0.4,0.3,1,1e-05,13
14,0.006,priority_age_frailty,0.4,0.3,1,1e-05,14
28,0.006,priority_age_frailty,0.4,0.3,1,1e-05,15
-28,0.012,priority_age_frailty,0.4,0.3,1,1e-05,16
-14,0.012,priority_age_frailty,0.4,0.3,1,1e-05,17
0,0.012,priority_age_frailty,0.4,0.3,1,1e-05,18
14,0.012,priority_age_frailty,0.4,0.3,1,1e-05,19
28,0.012,priority_age_frailty,0.4,0.3,1,1e-05,20
-28,0.001,priority_age_frailty,0.4,0.6,1,1e-05,21
-14,0.001,priority_age_frailty,0.4,0.6,1,1e-05,22
0,0.001,priority_age_frailty,0.4,0.6,1,1e-05,23
14,0.001,priority_age_frailty,0.4,0.6,1,1e-05,24
28,0.001,priority_age_frailty,0.4,0.6,1,1e-05,25
-28,0.003,priority_age_frailty,0.4,0.6,1,1e-05,26
-14,0.003,priority_age_frailty,0.4,0.6,1,1e-05,27
0,0.003,priority_age_frailty,0.4,0.6,1,1e-05,28
14,0.003,priority_age_frailty,0.4,0.6,1,1e-05,29
28,0.003,priority_age_frailty,0.4,0.6,1,1e-05,30
-28,0.006,priority_age_frailty,0.4,0.6,1,1e-05,31
-14,0.006,priority_age_frailty,0.4,0.6,1,1e-05,32
0,0.006,priority_age_frailty,0.4,0.6,1,1e-05,33
14,0.006,priority_age_frailty,0.4,0.6,1,1e-05,34
28,0.006,priority_age_frailty,0.4,0.6,1,1e-05,35
-28,0.012,priority_age_frailty,0.4,0.6,1,1e-05,36
-14,0.012,priority_age_frailty,0.4,0.6,1,1e-05,37
0,0.012,priority_age_frailty,0.4,0.6,1,1e-05,38
14,0.012,priority_age_frailty,0.4,0.6,1,1e-05,39
28,0.012,priority_age_frailty,0.4,0.6,1,1e-05,40
-28,0.001,priority_age_frailty,0.4,0.9,1,1e-05,41
-14,0.001,priority_age_frailty,0.4,0.9,1,1e-05,42
0,0.001,priority_age_frailty,0.4,0.9,1,1e-05,43
14,0.001,priority_age_frailty,0.4,0.9,1,1e-05,44
28,0.001,priority_age_frailty,0.4,0.9,1,1e-05,45
-28,0.003,priority_age_frailty,0.4,0.9,1,1e-05,46
-14,0.003,priority_age_frailty,0.4,0.9,1,1e-05,47
0,0.003,priority_age_frailty,0.4,0.9,1,1e-05,48
14,0.003,priority_age_frailty,0.4,0.9,1,1e-05,49
28,0.003,priority_age_frailty,0.4,0.9,1,1e-05,50
-28,0.006,priority_age_frailty,0.4,0.9,1,1e-05,51
-14,0.006,priority_age_frailty,0.4,0.9,1,1e-05,52
0,0.006,priority_age_frailty,0.4,0.9,1,1e-05,53
14,0.006,priority_age_frailty,0.4,0.9,1,1e-05,54
28,0.006,priority_age_frailty,0.4,0.9,1,1e-05,55
-28,0.012,priority_age_frailty,0.4,0.9,1,1e-05,56
